asin,status,syncroPrice,amazonPrice,syncroStock,amazonStock,priceDiff,stockDiff
"B0BCWTJ6V1","MISSING_IN_AMAZON","71.17",,"20",,,
"B077C8L4XB","MISSING_IN_AMAZON","208.05",,"6",,,
"B00EIMRZGS","MISSING_IN_AMAZON","68.82",,"20",,,
"B07H3GWLPD","PRICE_MISMATCH","0","112.83","0","0","-112.83","0"
"1422187608","MISSING_IN_AMAZON","49.96",,"20",,,
"B084D32FSB","MISSING_IN_AMAZON","88.96",,"20",,,
"B0CL7W9S43","MISSING_IN_AMAZON","72.9",,"20",,,
"B00DKGRZ7C","MATCH","70.95","70.95","3","3","0","0"
"B0BX4K3MQX","MISSING_IN_AMAZON","90.99",,"20",,,
"B01DWF745I","MISSING_IN_AMAZON","62.08",,"20",,,
"B0CNX5DFNV","MATCH","121.37","121.37","20","20","0","0"
"B0DZY3HZ4M","MISSING_IN_AMAZON","103.39",,"20",,,
"B08B1TGXC3","MATCH","135.76","135.76","20","20","0","0"
"B089NC4MNW","MISSING_IN_AMAZON","59.74",,"4",,,
"B00ENXE72M","MISSING_IN_AMAZON","169.47",,"20",,,
"B0C6M2J1D5","MATCH","56.63","56.63","20","20","0","0"
"B002GIHHZU","MATCH","46.74","46.74","20","20","0","0"
"B0BPWYKP1P","MISSING_IN_AMAZON","63.73",,"20",,,
"B00GPZCH50","MISSING_IN_AMAZON","271.16",,"20",,,
"B0DL7ZKXYQ","MISSING_IN_AMAZON","43.59",,"20",,,
"B082HS9G49","MISSING_IN_AMAZON","111.09",,"13",,,
"B0CT83WT52","MATCH","106.99","106.99","20","20","0","0"
"B07YWBPT9G","MISSING_IN_AMAZON","100.99",,"20",,,
"B0C5D6T92K","MATCH","109.79","109.79","0","0","0","0"
"B01M583BLP","MISSING_IN_AMAZON","391.08",,"20",,,
"B0D2CXSC8H","MATCH","105.13","105.13","20","20","0","0"
"B0CHWHJWF3","MISSING_IN_AMAZON","162.74",,"20",,,
"B0FD3CKFQB","MATCH","193.71","193.71","14","14","0","0"
"B07BWSBHGH","MATCH","88.65","88.65","12","12","0","0"
"B07TL77FFZ","MATCH","206.34","206.34","20","20","0","0"
"B0D46W4V3N","MATCH","152.26","152.26","20","20","0","0"
"B0CT91JZKD","MATCH","45.82","45.82","20","20","0","0"
"B0BZBNBSJR","PRICE_MISMATCH","85.39","85.56","13","13","-0.17","0"
"B0DXL1KCKT","PRICE_MISMATCH","121.37","121.62","20","20","-0.25","0"
"B0CKRVCWGY","PRICE_MISMATCH","81.81","81.98","0","0","-0.17","0"
"B0CGGVKN8J","MATCH","100","100","20","20","0","0"
"B0D678J2GC","MATCH","69.36","69.36","20","20","0","0"
"B0132HUB56","MISSING_IN_AMAZON","38.73",,"20",,,
"B079V3XN22","MISSING_IN_AMAZON","148.06",,"20",,,
"B0DNVPXF7T","MATCH","85.96","85.96","12","12","0","0"
"B0CP2NRRK5","MATCH","113.52","113.52","17","17","0","0"
"B07CSHPK6J","MISSING_IN_AMAZON","169.93",,"20",,,
"B0D9VHQHML","PRICE_MISMATCH","63.82","63.96","0","0","-0.14","0"
"B0B67XNQPD","MISSING_IN_AMAZON","45.84",,"20",,,
"B0DQ45VTC4","MISSING_IN_AMAZON","0",,"0",,,
"B00NIYMPHQ","MISSING_IN_AMAZON","120.07",,"20",,,
"B0CHFRVH2X","MATCH","75.44","75.44","9","9","0","0"
"B084R82Q2M","MISSING_IN_AMAZON","360.02",,"5",,,
"B008SAYXSY","MATCH","63.82","63.82","20","20","0","0"
"B07VPR9XHH","MATCH","1216.61","1216.61","3","3","0","0"
"B07DMBXB9X","MISSING_IN_AMAZON","171.73",,"5",,,
"B00DIHWNOI","MATCH","127.77","127.77","20","20","0","0"
"B0CT8JSBLR","MISSING_IN_AMAZON","192.3",,"20",,,
